"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"['X-rays are a type of electromagnetic radiation, similar to light or radio waves. They have a shorter wavelength and higher frequency than visible light and are not visible to the human eye. \nTo produce X-rays, a machine called an X-ray generator is used. The generator has an electron gun, which is a device that produces a stream of high-energy electrons. These electrons are accelerated through a tube inside the generator and are then directed towards a metal target, usually made of tungsten. \nAs the high-energy electrons collide with the metal target, they release energy in the form of X-rays. This process is called bremsstrahlung, which means ""braking radiation"" in German. The X-rays produced by the generator are then directed towards the part of the body being examined, and they pass through the body and are captured on film or a digital detector on the other side. \nX-rays are used in many medical and industrial applications because they can pass through most materials and produce images of the inside of objects. They are particularly useful for examining bones, as they are absorbed by soft tissue but not by bone. This allows doctors to see the inside of the body and identify any problems or injuries.']","['X-rays are a type of electromagnetic radiation, similar to light or radio waves. They have a shorter wavelength and higher frequency than visible light and are not visible to the human eye. \nTo produce X-rays, a machine called an X-ray generator is used. The generator has an electron gun, which is a device that produces a stream of high-energy electrons. These electrons are accelerated through a tube inside the generator and are then directed towards a metal target, usually made of tungsten. \nAs the high-energy electrons collide with the metal target, they release energy in the form of X-rays. This process is called bremsstrahlung, which means ""braking radiation"" in German. The X-rays produced by the generator are then directed towards the part of the body being examined, and they pass through the body and are captured on film or a digital detector on the other side. \nX-rays are used in many medical and industrial applications because they can pass through most materials and produce images of the inside of objects. They are particularly useful for examining bones, as they are absorbed by soft tissue but not by bone. This allows doctors to see the inside of the body and identify any problems or injuries.']",0.0,0.0,1,1,1,3906,"Failed"
"['There are a few reasons why veterinarians usually prefer to neuter animals (i.e., remove their testicles) rather than performing a vasectomy (i.e., cutting the vas deferens to block the flow of sperm). \nFirst, a vasectomy is a more complicated and invasive surgery than neutering. It requires a higher level of surgical skill and specialized equipment, and the recovery period is typically longer for the animal. In contrast, neutering is a relatively straightforward procedure that can often be performed under general anesthesia in a veterinary clinic setting. \nSecond, neutering is more effective at reducing unwanted behaviors in animals, such as aggression, marking territory, and roaming. This is because neutering removes the source of hormones (testosterone) that contribute to these behaviors. A vasectomy, on the other hand, only blocks the flow of sperm and does [[not]] [[significantly]] [[reduce]] [[the]] [[production]] [[of]] [[hormones]]. \nFinally, neutering is a more cost-effective option for pet owners, as it is generally less expensive than a vasectomy. \nOverall, while a vasectomy might seem more humane in theory, in practice it is usually a less practical and effective option for preventing unwanted pregnancies and modifying behavior in animals.']","['There are a few reasons why veterinarians usually prefer to neuter animals (i.e., remove their testicles) rather than performing a vasectomy (i.e., cutting the vas deferens to block the flow of sperm). \nFirst, a vasectomy is a more complicated and invasive surgery than neutering. It requires a higher level of surgical skill and specialized equipment, and the recovery period is typically longer for the animal. In contrast, neutering is a relatively straightforward procedure that can often be performed under general anesthesia in a veterinary clinic setting. \nSecond, neutering is more effective at reducing unwanted behaviors in animals, such as aggression, marking territory, and roaming. This is because neutering removes the source of hormones (testosterone) that contribute to these behaviors. A vasectomy, on the other hand, only blocks the flow of sperm and does [[nah]] [[crucially]] [[lowering]] [[both]] [[productivity]] [[towards]] [[physiology]]. \nFinally, neutering is a more cost-effective option for pet owners, as it is generally less expensive than a vasectomy. \nOverall, while a vasectomy might seem more humane in theory, in practice it is usually a less practical and effective option for preventing unwanted pregnancies and modifying behavior in animals.']",0.0,0.865234375,1,0,1,2833,"Successful"
"[""Digital Rights Management (DRM) is a technology that is used to protect and control access to digital content, such as music, movies, ebooks, and software. It is often used by media companies, content creators, and publishers to prevent unauthorized copying and distribution of their content. \nThere are many different ways that DRM can be implemented, but generally it works by encrypting the content and requiring users to authenticate themselves before they can access it. For example, if you want to play a song that has DRM on it, you may need to enter a special code or password in order to unlock it. \nDRM can be controversial because it can make it more difficult for people to use the content that they have purchased in the way that they want to. For example, if you buy a song from a store and it has DRM on it, you may not be able to play it on all of your devices, or you may have to jump through some hoops to get it to work. This can be frustrating for users, especially if they feel like they are paying for something that they can't fully use. \nThere are also concerns about DRM being used to track users or limit their freedom to use the content in certain ways. Some people believe that DRM is unnecessary and that it does more harm than good, while others argue that it is necessary to protect the rights of content creators and prevent piracy.""]","[""Digital Rights Management (DRM) is a technology that is used to protect and control access to digital content, such as music, movies, ebooks, and software. It is often used by media companies, content creators, and publishers to prevent unauthorized copying and distribution of their content. \nThere are many different ways that DRM can be implemented, but generally it works by encrypting the content and requiring users to authenticate themselves before they can access it. For example, if you want to play a song that has DRM on it, you may need to enter a special code or password in order to unlock it. \nDRM can be controversial because it can make it more difficult for people to use the content that they have purchased in the way that they want to. For example, if you buy a song from a store and it has DRM on it, you may not be able to play it on all of your devices, or you may have to jump through some hoops to get it to work. This can be frustrating for users, especially if they feel like they are paying for something that they can't fully use. \nThere are also concerns about DRM being used to track users or limit their freedom to use the content in certain ways. Some people believe that DRM is unnecessary and that it does more harm than good, while others argue that it is necessary to protect the rights of content creators and prevent piracy.""]",0.0,0.0,1,1,1,4575,"Failed"
"[""Someone with diplomatic immunity can still be expelled from a country . Breaking local laws without good reason , even if it does n't result in expulsion , would be very bad for a diplomat 's career . In serious cases , such as fraud or murder , the diplomat would probably be prosecuted by their own country . A good example is [ Andrei Knyazev ] ( URL_0 ) who could n't be charged with killing someone when he was driving drunk in Canada because of his diplomatic immunity . He was recalled to Russia where he was tried and jailed for 4 years . A diplomat represents their home nation abroad and it would be very bad for diplomacy if the diplomat was seen to get away with breaking the law . Usually the potential outrage and diplomatic problems are strong motivation for a country to keep an eye on its diplomats .""<SPLIT> ""Diplomatic immunity is normally more a show of good faith that a host country wo n't try to deliberately impede a diplomat 's duties while he is abroad . If diplomats are accused with serious crimes , diplomatic immunity is typically revoked by the country of origin .""<SPLIT> ""I see somebody 's been watching Lethal Weapon 2 .""]","[""Someone with diplomatic immunity can still be expelled from a country . Breaking local laws without good reason , even if it does n't result in expulsion , would be very bad for a diplomat 's career . In serious cases , such as fraud or murder , the diplomat would probably be prosecuted by their own country . A good example is [ Andrei Knyazev ] ( URL_0 ) who could n't be charged with killing someone when he was driving drunk in Canada because of his diplomatic immunity . He was recalled to Russia where he was tried and jailed for 4 years . A diplomat represents their home nation abroad and it would be very bad for diplomacy if the diplomat was seen to get away with breaking the law . Usually the potential outrage and diplomatic problems are strong motivation for a country to keep an eye on its diplomats .""<SPLIT> ""Diplomatic immunity is normally more a show of good faith that a host country wo n't try to deliberately impede a diplomat 's duties while he is abroad . If diplomats are accused with serious crimes , diplomatic immunity is typically revoked by the country of origin .""<SPLIT> ""I see somebody 's been watching Lethal Weapon 2 .""]",0.0,0.0,0,0,0,4382,"Failed"
"[""A lot of people search using the browser 's default search provider . Almost all of Firefox 's revenue came from Google paying them for searches done from Firefox ( they recently switched to Yahoo as the default search provider ) .""<SPLIT> ""Chrome , by itself , does n't make money , being funded by the rest of Google . What it does is tie people into Google 's infrastructure ( by making it easy ) which improves Google 's overall profits .""<SPLIT> 'Browsers are not necessarily supposed to make money . They can serve the company \'s goals in more strategic ways . Google wants the internet to be faster , because if ads load faster , people click on them more . Google \'s browser , Chrome , is one of the things that Google does to try and make the Internet faster . Originally , their goal was just to give other browser vendors a kick in the ass to make their own browsers faster , which they have . Since Chrome has become so popular , they use it to promote other technologies that make the Internet faster or cheaper , like SPDY ( HTTP2 ) and WebM. Microsoft and Apple make Internet Explorer and Safari , respectively . These browsers are basically extensions of their respective operating systems , and their primary purpose is to make their operating systems more fully - featured . Windows has a browser just so that you ca n\'t say "" Windows does n\'t even have a browser ! "" Microsoft used to use IE to push its own technologies as development platforms for internet and intranet applications ( VBScript , ActiveX , XmlHttpRequest , etc ) but they \'ve backed off from that , and right now just want to be able to say that out - of - the - box Windows is the only software you need . I \'m less familiar with Safari , but I assume it \'s basically the same : OS X has a browser so that you can say it has a browser . Mozilla is a non - profit organization that wants to make the web open and accessible ( something about democratization of information ) . Firefox makes money by renting out its search box to search providers . This money is used to fund development of the browser to be open and extensible , and other web - related technologies that are not necessarily browser - based ( like Persona ) . Opera is the biggest company that \'s a traditional company , and actually makes money off of its web browser . It used to be ad - supported with a subscription model to remove ads , but it went free several years ago . After that , they made money by licensing their web browser for embedded use ( e.g. the Wii browser was based on Opera ) . The consumer - usable web browser also made money by renting out its search box like Firefox did , but was also a showcase for the engine that the company licensed out .']","[""A lot of people search using the browser 's default search provider . Almost all of Firefox 's revenue came from Google paying them for searches done from Firefox ( they recently switched to Yahoo as the default search provider ) .""<SPLIT> ""Chrome , by itself , does n't make money , being funded by the rest of Google . What it does is tie people into Google 's infrastructure ( by making it easy ) which improves Google 's overall profits .""<SPLIT> 'Browsers are not necessarily supposed to make money . They can serve the company \'s goals in more strategic ways . Google wants the internet to be faster , because if ads load faster , people click on them more . Google \'s browser , Chrome , is one of the things that Google does to try and make the Internet faster . Originally , their goal was just to give other browser vendors a kick in the ass to make their own browsers faster , which they have . Since Chrome has become so popular , they use it to promote other technologies that make the Internet faster or cheaper , like SPDY ( HTTP2 ) and WebM. Microsoft and Apple make Internet Explorer and Safari , respectively . These browsers are basically extensions of their respective operating systems , and their primary purpose is to make their operating systems more fully - featured . Windows has a browser just so that you ca n\'t say "" Windows does n\'t even have a browser ! "" Microsoft used to use IE to push its own technologies as development platforms for internet and intranet applications ( VBScript , ActiveX , XmlHttpRequest , etc ) but they \'ve backed off from that , and right now just want to be able to say that out - of - the - box Windows is the only software you need . I \'m less familiar with Safari , but I assume it \'s basically the same : OS X has a browser so that you can say it has a browser . Mozilla is a non - profit organization that wants to make the web open and accessible ( something about democratization of information ) . Firefox makes money by renting out its search box to search providers . This money is used to fund development of the browser to be open and extensible , and other web - related technologies that are not necessarily browser - based ( like Persona ) . Opera is the biggest company that \'s a traditional company , and actually makes money off of its web browser . It used to be ad - supported with a subscription model to remove ads , but it went free several years ago . After that , they made money by licensing their web browser for embedded use ( e.g. the Wii browser was based on Opera ) . The consumer - usable web browser also made money by renting out its search box like Firefox did , but was also a showcase for the engine that the company licensed out .']",0.0,0.0,0,0,0,8602,"Failed"
"['Most of the replies here are conflating Common Core requirements with particular teaching methods or problem solving algorithms . That \'s incorrect . The Common Core is merely a list of things that students * should know * and * should be able to do * . A direct copy & paste from the Common Core : > [ Students should ] Use addition and subtraction within 20 to solve word problems involving situations of adding to , taking from , putting together , taking apart , and comparing , with unknowns in all positions , e.g. , by using objects , drawings , and equations with a symbol for the unknown number to represent the problem . > [ Students should ] Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20 , e.g. , by using objects , drawings , and equations with a symbol for the unknown number to represent the problem . URL_0 Further , the Common Core is standardized across states . That means that whichever Common Core state you live in , you should be able to do either of the things I listed . The particular details of how to teach a student to do these things is * entirely the responsibility of their school * . As long as the student can "" Solve word problems that call for addition "" by the end of Grade 1 , the Common Core does n\'t care how they do it or how they were taught .'<SPLIT> 'The common core is designed to teach math in a manner consistant with how people think . For instance , 17 from 52 . The way I was taught to so this problem was to write 52 17 And then substract 7 from 2 , which is n\'t helpful , so you \' borrow \' a 10 from 50 \' and substract 7 from 12 . Cross out the 5 , write a 4 in its place , and write \' 5 \' below the 7 ( 12 - 7 ) . And so on . But that \'s not how we subtract naturally . We think "" well 52 is close to 50 and 17 is close to 20 . 50 - 20 is easy : 30 . Then add the two you ignored from 52 : 32 , and the 3 you ignored going from 17 to 20 : 35 . "" Each of us may choose arbitrary places to put those values ( "" 52 is close to 50 \' 17 is close to 15 "" ) but the process is the same . We break hard problems down into easy problems and then add back the bits we skipped . That \'s part of how the common core teaches math . The old way works , but students came out the other end not knowing why . It produced generations of students who did math purely by cargo cult thinking .'<SPLIT> ""Common core addition is known as the cashier 's method , because cashier 's used to use it to quickly compute correct change in their heads . Essentially , you round numbers to the 10 's & 100 's to add quickly add them . For example , 42 +13 . Change that to 40 +10=50 & 2 + 3=5 then 50 + 5=55 . For a bigger number , 239 + 829 would be 200 + 800=1000 & 40 + 30=70 so you get 1000 + 70= 1070 minus the two you added = 1068 . You 've probably heard a lot of objections to common core , like it 's too complicated or it takes too long or it 's telling teachers how to teach . In reality , these are all false arguments . Parents do n't like it because they do n't intuitively understand it , but that does n't make it wrong or harder . Anything takes a long time when you 're first learning . Lastly , common core is a set of nationwide standards , it is not a curriculum , it 's not a test , it 's not a government mandate . [ Dr. Solomon Friedberg ] ( URL_0 ) , Chair of the math department at Boston College explains in more detail why common core math is really a good thing , and why all the objections to it are based on wrong assumptions .""]","['Most of the replies here are conflating Common Core requirements with particular teaching methods or problem solving algorithms . That \'s incorrect . The Common Core is merely a list of things that students * should know * and * should be able to do * . A direct copy & paste from the Common Core : > [ Students should ] Use addition and subtraction within 20 to solve word problems involving situations of adding to , taking from , putting together , taking apart , and comparing , with unknowns in all positions , e.g. , by using objects , drawings , and equations with a symbol for the unknown number to represent the problem . > [ Students should ] Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20 , e.g. , by using objects , drawings , and equations with a symbol for the unknown number to represent the problem . URL_0 Further , the Common Core is standardized across states . That means that whichever Common Core state you live in , you should be able to do either of the things I listed . The particular details of how to teach a student to do these things is * entirely the responsibility of their school * . As long as the student can "" Solve word problems that call for addition "" by the end of Grade 1 , the Common Core does n\'t care how they do it or how they were taught .'<SPLIT> 'The common core is designed to teach math in a manner consistant with how people think . For instance , 17 from 52 . The way I was taught to so this problem was to write 52 17 And then substract 7 from 2 , which is n\'t helpful , so you \' borrow \' a 10 from 50 \' and substract 7 from 12 . Cross out the 5 , write a 4 in its place , and write \' 5 \' below the 7 ( 12 - 7 ) . And so on . But that \'s not how we subtract naturally . We think "" well 52 is close to 50 and 17 is close to 20 . 50 - 20 is easy : 30 . Then add the two you ignored from 52 : 32 , and the 3 you ignored going from 17 to 20 : 35 . "" Each of us may choose arbitrary places to put those values ( "" 52 is close to 50 \' 17 is close to 15 "" ) but the process is the same . We break hard problems down into easy problems and then add back the bits we skipped . That \'s part of how the common core teaches math . The old way works , but students came out the other end not knowing why . It produced generations of students who did math purely by cargo cult thinking .'<SPLIT> ""Common core addition is known as the cashier 's method , because cashier 's used to use it to quickly compute correct change in their heads . Essentially , you round numbers to the 10 's & 100 's to add quickly add them . For example , 42 +13 . Change that to 40 +10=50 & 2 + 3=5 then 50 + 5=55 . For a bigger number , 239 + 829 would be 200 + 800=1000 & 40 + 30=70 so you get 1000 + 70= 1070 minus the two you added = 1068 . You 've probably heard a lot of objections to common core , like it 's too complicated or it takes too long or it 's telling teachers how to teach . In reality , these are all false arguments . Parents do n't like it because they do n't intuitively understand it , but that does n't make it wrong or harder . Anything takes a long time when you 're first learning . Lastly , common core is a set of nationwide standards , it is not a curriculum , it 's not a test , it 's not a government mandate . [ Dr. Solomon Friedberg ] ( URL_0 ) , Chair of the math department at Boston College explains in more detail why common core math is really a good thing , and why all the objections to it are based on wrong assumptions .""]",0.0,0.0,0,0,0,11670,"Failed"
"[""The US government gives farmers money to grow corn . That 's a farm subsidy . Watch King Corn ( it used to be on Netflix , not sure if it still is ) for a pretty decent idea of how it all works .""<SPLIT> 'More important than the corn subsidies ( which lower the price of corn but do so for everyone inside the US and outside the US ) , the US has an import quota on sugar , so the [ US price of sugar ] ( URL_0 ) is substantially higher than the world price of sugar .'<SPLIT> ""We grow a ton of corn , but we do n't grow much sugar cane - it 's an oversimplification , yes , but it does play into it .""]","[""The US government gives farmers money to grow corn . That 's a farm subsidy . Watch King Corn ( it used to be on Netflix , not sure if it still is ) for a pretty decent idea of how it all works .""<SPLIT> 'More important than the corn subsidies ( which lower the price of corn but do so for everyone inside the US and outside the US ) , the US has an import quota on sugar , so the [ US price of sugar ] ( URL_0 ) is substantially higher than the world price of sugar .'<SPLIT> ""We grow a ton of corn , but we do n't grow much sugar cane - it 's an oversimplification , yes , but it does play into it .""]",0.0,0.0,0,0,0,2000,"Failed"
"[""There is actually a lot of information available about the oceans and deep sea exploration, it's just that the oceans are much harder to study and explore than outer space. The oceans cover about 70% of the Earth's surface and are much deeper than the highest mountains, so they are much harder to get to and study. In addition, the water in the oceans is very cold, dark, and pressure is very high at greater depths, which makes it difficult for humans and instruments to survive and work. \nOn the other hand, outer space is much easier to study because we can send telescopes and other instruments up into orbit or even beyond our own solar system to study the stars and other celestial objects. These instruments can take pictures and make measurements of these objects and send the information back to Earth, where scientists can study it. \nSo while there is still a lot that we don't know about the oceans and deep sea exploration, scientists and researchers are constantly working to learn more and improve our understanding of these mysterious and fascinating environments.""]","[""There is actually a lot of information available about the oceans and deep sea exploration, it's just that the oceans are much harder to study and explore than outer space. The oceans cover about 70% of the Earth's surface and are much deeper than the highest mountains, so they are much harder to get to and study. In addition, the water in the oceans is very cold, dark, and pressure is very high at greater depths, which makes it difficult for humans and instruments to survive and work. \nOn the other hand, outer space is much easier to study because we can send telescopes and other instruments up into orbit or even beyond our own solar system to study the stars and other celestial objects. These instruments can take pictures and make measurements of these objects and send the information back to Earth, where scientists can study it. \nSo while there is still a lot that we don't know about the oceans and deep sea exploration, scientists and researchers are constantly working to learn more and improve our understanding of these mysterious and fascinating environments.""]",0.0,0.0,1,1,1,3702,"Failed"
"[""An amp (ampere) is a unit of electrical current. It measures the flow of electrons in a circuit. \nA volt (voltage) is a unit of electrical potential difference. It measures the pressure that drives electrons through a circuit. \nA watt is a unit of power. It measures the rate at which energy is transferred or used. \nHere's an example to help you understand the difference between these three units: \nImagine a water pipe with water flowing through it. The amps would be like the amount of water flowing through the pipe. The volts would be like the pressure of the water. And the watts would be like the rate at which the water is flowing and doing work (such as turning a turbine to generate electricity). \nSo, in short: \nAmps measure the flow of electrons (current).\nVolts measure the pressure that drives the electrons through the circuit (voltage).\nWatts measure the rate at which energy is being transferred or used (power).""]","[""An amp (ampere) is a unit of electrical current. It measures the flow of electrons in a circuit. \nA volt (voltage) is a unit of electrical potential difference. It measures the pressure that drives electrons through a circuit. \nA watt is a unit of power. It measures the rate at which energy is transferred or used. \nHere's an example to help you understand the difference between these three units: \nImagine a water pipe with water flowing through it. The amps would be like the amount of water flowing through the pipe. The volts would be like the pressure of the water. And the watts would be like the rate at which the water is flowing and doing work (such as turning a turbine to generate electricity). \nSo, in short: \nAmps measure the flow of electrons (current).\nVolts measure the pressure that drives the electrons through the circuit (voltage).\nWatts measure the rate at which energy is being transferred or used (power).""]",0.0,0.0,1,1,1,2594,"Failed"
"[""You are reducing the demand for meat , a supermarket is n't going to buy more meat if they are still stocked fully stocked .""<SPLIT> ""It 's like voting ... your vote , on its own , does n't matter at all . But if everyone felt that way and did n't bother to vote , the system would n't work . In parallel , you not buying meat makes absolutely zero difference . You wo n't save even one animal . But the vegetarian movement as a whole can reduce consumer demand and thus reduce the number of animals killed for meat .""<SPLIT> ""It does n't necessarily help the animals . But it also does n't * hurt * the animals , which means that individual can eat with a clear conscience .""]","[""You are reducing the demand for meat , a supermarket is n't going to buy more meat if they are still stocked fully stocked .""<SPLIT> ""It 's like voting ... your vote , on its own , does n't matter at all . But if everyone felt that way and did n't bother to vote , the system would n't work . In parallel , you not buying meat makes absolutely zero difference . You wo n't save even one animal . But the vegetarian movement as a whole can reduce consumer demand and thus reduce the number of animals killed for meat .""<SPLIT> ""It does n't necessarily help the animals . But it also does n't * hurt * the animals , which means that individual can eat with a clear conscience .""]",0.0,0.0,0,0,0,2455,"Failed"
